date,FREIGHT_USD_DAY,FUEL_USD_PER_T,EUA_USD_PER_TCO2
2024-12-12,85000,747,64.3550033569336
2024-12-13,85000,747,62.900001525878906
2024-12-16,85000,747,61.48500061035156
2024-12-17,85000,747,60.77000045776367
2024-12-18,85000,747,61.21500015258789
2024-12-19,85000,747,64.0199966430664
2024-12-20,85000,747,64.125
2024-12-23,85000,747,65.49500274658203
2024-12-24,85000,747,65.62000274658203
2024-12-27,85000,747,67.5199966430664
2024-12-30,85000,747,67.65499877929688
2024-12-31,85000,747,68.61000061035156
2025-01-02,85000,747,70.94000244140625
2025-01-03,85000,747,71.76000213623047
2025-01-06,85000,747,70.23500061035156
2025-01-07,85000,747,70.125
2025-01-08,85000,747,68.1500015258789
2025-01-09,85000,747,69.47000122070312
2025-01-10,85000,747,70.84500122070312
2025-01-13,85000,747,72.31500244140625
2025-01-14,85000,747,72.3949966430664
2025-01-15,85000,747,73.91000366210938
2025-01-16,85000,747,73.99500274658203
2025-01-17,85000,747,74.91999816894531
2025-01-21,85000,747,75.33499908447266
2025-01-22,85000,747,74.81999969482422
2025-01-23,85000,747,76.375
2025-01-24,85000,747,77.18000030517578
2025-01-27,85000,747,74.9000015258789
2025-01-28,85000,747,75.9800033569336
2025-01-29,85000,747,78.70999908447266
2025-01-30,85000,747,78.01000213623047
2025-01-31,85000,747,79.3499984741211
2025-02-03,85000,747,76.73999786376953
2025-02-04,85000,747,76.3949966430664
2025-02-05,85000,747,76.80000305175781
2025-02-06,85000,747,77.49500274658203
2025-02-07,85000,747,78.08999633789062
2025-02-10,85000,747,78.41000366210938
2025-02-11,85000,747,78.16000366210938
2025-02-12,85000,747,76.32499694824219
2025-02-13,85000,747,74.0999984741211
2025-02-14,85000,747,75.55500030517578
2025-02-18,85000,747,71.4749984741211
2025-02-19,85000,747,70.41000366210938
2025-02-20,85000,747,68.9800033569336
2025-02-21,85000,747,69.99500274658203
2025-02-24,85000,747,69.92500305175781
2025-02-25,85000,747,67.86000061035156
2025-02-26,85000,747,67.6500015258789
2025-02-27,85000,747,69.08999633789062
2025-02-28,85000,747,67.63500213623047
2025-03-03,85000,747,67.97000122070312
2025-03-04,85000,747,64.88500213623047
2025-03-05,85000,747,64.82499694824219
2025-03-06,85000,747,63.77000045776367
2025-03-07,85000,747,64.88999938964844
2025-03-10,85000,747,65.625
2025-03-11,85000,747,64.9000015258789
2025-03-12,85000,747,65.86000061035156
2025-03-13,85000,747,66.56999969482422
2025-03-14,85000,747,67.27999877929688
2025-03-17,85000,747,66.37000274658203
2025-03-18,85000,747,67.66999816894531
2025-03-19,85000,747,70.01000213623047
2025-03-20,85000,747,69.3550033569336
2025-03-21,85000,747,67.69499969482422
2025-03-24,85000,747,67.94499969482422
2025-03-25,85000,747,66.93499755859375
2025-03-26,85000,747,67.26000213623047
2025-03-27,85000,747,65.37999725341797
2025-03-28,85000,747,65.4800033569336
2025-03-31,85000,747,64.75
2025-04-01,85000,747,66.29000091552734
2025-04-02,85000,747,65.48500061035156
2025-04-03,85000,747,63.16999816894531
2025-04-04,85000,747,60.79999923706055
2025-04-07,85000,747,59.130001068115234
2025-04-08,85000,747,58.915000915527344
2025-04-09,85000,747,58.30500030517578
